,article_id,cluster,buying_count
0,685687004,2,98
1,685687001,16,56
2,685687003,2,51
3,673677002,12,29
4,685687002,16,27
5,671505002,2,24
6,573085001,9,23
7,562245001,9,22
8,399201005,18,21
9,467302100,27,21
10,524825013,10,21
11,573716039,10,20
12,665477001,18,20
13,671505001,2,20
14,692454002,2,19
15,667491011,2,19
16,577513001,7,18
17,683662005,8,17
18,680186001,10,17
19,573716012,9,17
20,200182001,32,17
21,529008026,5,17
22,610776002,19,17
23,662868002,2,16
24,507910001,0,16
25,524825010,10,16
26,562245034,10,15
27,539723005,27,15
28,573085020,9,15
29,683662006,8,15
30,591334003,2,14
31,625939005,22,14
32,667491006,0,14
33,632143001,8,14
34,662868003,2,14
35,688873020,28,13
36,615141002,2,13
37,539723001,1,13
38,156231001,32,13
39,399136009,2,13
40,589924004,28,12
41,399223001,9,12
42,666006006,15,12
43,662888003,2,12
44,573085010,10,12
45,399136004,18,12
46,516903005,22,12
47,683662002,8,12
48,562820006,12,11
49,228257001,32,11
50,579541001,12,11
51,637255001,2,11
52,573085014,9,11
53,506110001,9,11
54,673638002,16,10
55,565379001,19,10
56,568601018,15,10
57,568601006,12,10
58,665477003,18,10
59,688873001,2,10
60,660712003,9,10
61,610776001,19,10
62,501820043,22,10
63,637549005,16,10
64,160442007,32,10
65,589924005,15,10
66,589222001,18,10
67,650682001,9,10
68,554450004,27,10
69,189616008,1,10
70,573937001,9,10
71,660712012,10,10
72,662888001,16,10
73,633130015,22,9
74,567993015,21,9
75,417951005,32,9
76,576775001,9,9
77,573716033,10,9
78,458032003,9,9
79,599502001,9,9
80,633130002,27,9
81,646429003,21,9
82,627389006,2,9
83,667491002,2,9
84,189616006,25,9
85,684686001,28,9
86,573085004,10,9
87,678230003,2,9
88,538142004,28,9
89,662857005,12,9
90,660712001,10,9
91,524825012,9,9
92,589222003,18,9
93,660599001,16,9
94,673677003,12,9
95,640462002,8,9
96,611415005,5,9
97,633136003,8,9
98,667999004,30,9
99,591334019,15,9
100,562245050,10,9
101,111593001,32,9
102,562245018,10,9
103,529012025,24,9
104,399136061,2,8
105,355569001,8,8
106,671505004,15,8
107,612182001,9,8
108,524061003,8,8
109,562252010,10,8
110,562245004,10,8
111,668767002,1,8
112,678086003,1,8
113,680715001,15,8
114,622962001,9,8
115,637661001,16,8
116,665095002,9,8
117,573085027,27,8
118,539723006,27,8
119,573716040,9,8
120,501820008,8,8
121,662257001,25,8
122,569929001,12,8
123,656719005,9,8
124,679494004,28,8
125,650696002,12,7
126,664074001,2,7
127,661794002,15,7
128,399136023,10,7
129,661435002,12,7
130,681815001,19,7
131,189616007,1,7
132,573085005,28,7
133,664665004,12,7
134,554450001,1,7
135,684080001,2,7
136,649397002,7,7
137,553139001,2,7
138,646429001,21,7
139,557248009,11,7
140,630450002,9,7
141,622295001,12,7
142,638136001,21,7
143,671553002,12,7
144,621381011,25,7
145,552471023,27,7
146,639192009,16,7
147,636455009,2,7
148,671502001,15,7
149,645065001,22,7
150,573716002,10,7
151,671057002,27,7
152,638553001,28,7
153,699566001,28,7
154,562245059,10,7
155,680220001,2,7
156,507909001,0,7
157,690478001,2,7
158,688873012,2,7
159,680374003,2,7
160,688873005,15,7
161,625939025,8,7
162,599502009,9,7
163,564787001,21,7
164,501820001,8,7
165,568597009,9,7
166,688463001,19,7
167,630145001,21,7
168,555102001,21,7
169,665477002,18,7
170,601102001,1,7
171,686631001,9,7
172,589222005,10,7
173,595779002,2,7
174,243613004,12,7
175,672890001,2,7
176,678073002,2,7
177,686269001,26,7
178,592172007,19,7
179,532578009,12,6
180,625939014,22,6
181,625321003,21,6
182,554704006,16,6
183,625321010,21,6
184,630116001,21,6
185,644522001,12,6
186,524825019,15,6
187,536139006,32,6
188,639192002,2,6
189,556379003,0,6
190,532578008,16,6
191,673638003,28,6
192,552473021,8,6
193,680912009,22,6
194,642437005,1,6
195,436261001,32,6
196,108775015,19,6
197,646592004,12,6
198,676954001,2,6
199,501820042,27,6
200,637515002,12,6
201,595779008,2,6
202,469137001,2,6
203,568864001,2,6
204,500780006,21,6
205,473954006,5,6
206,660712007,10,6
207,571436009,12,6
208,661794001,15,6
209,399201020,18,6
210,662230001,25,6
211,662857003,16,6
212,573085028,9,6
213,580482004,16,6
214,580000001,5,6
215,573716023,9,6
216,179123001,19,6
217,578476001,9,6
218,662888004,16,6
219,647334001,12,6
220,656367001,7,6
221,507909003,9,6
222,399136027,18,6
223,671491001,10,6
224,521302008,16,6
225,671022001,2,6
226,615141003,2,6
227,516859002,4,6
228,685683001,2,6
229,516741004,10,6
230,516712001,2,6
231,651273001,2,6
232,612182014,9,6
233,667999003,3,6
234,610776023,19,6
235,675281001,2,6
236,510126016,8,6
237,688873002,2,6
238,608458001,12,6
239,397068015,14,6
240,637549002,16,5
241,637255010,2,5
242,675281002,15,5
243,637661004,16,5
244,674492001,2,5
245,541518023,24,5
246,668767004,1,5
247,639192006,28,5
248,464277014,24,5
249,657476008,22,5
250,501820045,22,5
251,657497006,8,5
252,501820004,22,5
253,658030001,18,5
254,658183001,21,5
255,658298001,12,5
256,660599003,16,5
257,490113003,25,5
258,664319005,9,5
259,664075005,5,5
260,662868001,2,5
261,663942002,2,5
262,662888002,16,5
263,479227020,19,5
264,484398001,21,5
265,662935002,16,5
266,504154015,16,5
267,656015001,8,5
268,639845009,27,5
269,507909022,15,5
270,639976002,29,5
271,532954003,8,5
272,673900005,27,5
273,673638001,12,5
274,448509017,1,5
275,522561002,15,5
276,648968003,7,5
277,649397003,2,5
278,649494005,2,5
279,519583028,27,5
280,547367007,5,5
281,651912002,8,5
282,512251003,7,5
283,653431003,15,5
284,667499003,2,5
285,654772001,8,5
286,654772003,8,5
287,636323001,18,5
288,663396001,0,5
289,685284003,12,5
290,625818001,15,5
291,691543001,2,5
292,598806012,1,5
293,625311006,21,5
294,568597006,9,5
295,372860001,32,5
296,555364007,8,5
297,555347001,29,5
298,555326010,3,5
299,610776010,19,5
300,604349001,12,5
301,625939004,8,5
302,568808001,9,5
303,626000002,22,5
304,592975013,10,5
305,237222001,19,5
306,591334014,2,5
307,393447015,8,5
308,589924009,12,5
309,557248001,2,5
310,691184001,27,5
311,396135007,8,5
312,565379023,19,5
313,610776018,19,5
314,610776022,19,5
315,611062002,2,5
316,611378001,21,5
317,564786020,21,5
318,608952004,2,5
319,562252028,9,5
320,688873011,2,5
321,685284001,12,5
322,620081008,2,5
323,608007006,7,5
324,607834002,2,5
325,567594001,12,5
326,561445005,19,5
327,684080003,15,5
328,351933038,5,5
329,617900007,12,5
330,618784002,2,5
331,588689001,9,5
332,568601016,15,5
333,570781008,2,5
334,585482001,5,5
335,631837003,1,5
336,631848002,8,5
337,399201022,18,5
338,550471019,29,5
339,678086001,2,5
340,628788001,5,5
341,678079002,5,5
342,705094001,12,5
343,632523002,15,5
344,189634001,2,5
345,710390001,1,5
346,714421001,12,5
347,579541026,12,5
348,579541004,15,5
349,574109012,8,5
350,574109015,8,5
351,577314002,2,5
352,583534002,9,5
353,610776017,19,5
354,572124001,15,5
355,587229001,17,5
356,552473037,27,5
357,399087001,18,5
358,628930001,10,5
359,212629040,7,5
360,629305003,9,5
361,568597019,10,4
362,581086002,15,4
363,608069005,29,4
364,608007007,7,4
365,573626001,12,4
366,655710007,2,4
367,484398077,21,4
368,579541030,15,4
369,607596001,7,4
370,656345001,5,4
371,607427002,25,4
372,608483002,1,4
373,592180001,2,4
374,660519003,5,4
375,654564003,21,4
376,494030020,19,4
377,592174001,25,4
